Designator,Mid X,Mid Y,Rotation,Layer
C98,89.375,-121.275,270.0,top
C99,110.345,-91.2625,90.0,top
D1,78.86,-58.7475,0.0,top
D10,78.86,-95.8725,0.0,top
D100,134.525,-149.525,0.0,top
D101,134.525,-66.975,0.0,top
D102,134.525,-145.4,0.0,top
D103,134.525,-71.1,0.0,top
D104,134.525,-141.275,0.0,top
D105,134.525,-75.225,0.0,top
D106,134.525,-137.15,0.0,top
D107,134.525,-79.35,0.0,top
D108,134.525,-133.0,0.0,top
D109,134.525,-83.475,0.0,top
D11,78.86,-99.9975,0.0,top
D110,134.525,-128.875,0.0,top
D111,134.525,-87.6,0.0,top
D112,134.525,-124.725,0.0,top
D113,134.525,-91.725,0.0,top
D114,134.525,-120.6,0.0,top
D115,134.525,-95.85,0.0,top
D116,134.525,-116.475,0.0,top
D117,134.525,-99.975,0.0,top
D118,134.525,-112.35,0.0,top
D119,134.525,-104.1,0.0,top
D12,78.86,-104.1225,0.0,top
D120,134.525,-108.225,0.0,top
D121,148.175,-153.505,180.0,top
D122,148.175,-58.58,180.0,top
D123,148.175,-149.38,180.0,top
D124,148.175,-62.705,180.0,top
D125,148.175,-145.255,180.0,top
D126,148.175,-66.83,180.0,top
D127,148.175,-141.13,180.0,top
D128,148.175,-70.955,180.0,top
D129,148.175,-137.005,180.0,top
D13,78.86,-108.2475,0.0,top
D130,148.175,-75.08,180.0,top
D131,148.175,-132.88,180.0,top
D132,148.175,-79.23,180.0,top
D133,148.175,-128.755,180.0,top
D134,148.175,-83.355,180.0,top
D135,148.175,-124.63,180.0,top
D136,148.175,-87.505,180.0,top
D137,148.175,-120.505,180.0,top
D138,148.175,-91.63,180.0,top
D139,148.175,-116.38,180.0,top
D14,78.86,-112.3725,0.0,top
D140,148.175,-95.755,180.0,top
D141,148.175,-112.255,180.0,top
D142,148.175,-99.88,180.0,top
D143,148.175,-108.13,180.0,top
D144,148.175,-104.005,180.0,top
D145,161.355,-58.525,0.0,top
D146,161.355,-153.45,0.0,top
D147,161.355,-62.65,0.0,top
D148,161.355,-149.325,0.0,top
D149,161.355,-66.775,0.0,top
D15,78.86,-116.4975,0.0,top
D150,161.355,-145.2,0.0,top
D151,161.355,-70.9,0.0,top
D152,161.355,-141.075,0.0,top
D153,161.355,-75.025,0.0,top
D154,161.355,-136.95,0.0,top
D155,161.355,-79.15,0.0,top
D156,161.355,-132.8,0.0,top
D157,161.355,-83.275,0.0,top
D158,161.355,-128.675,0.0,top
D159,161.355,-87.4,0.0,top
D16,78.86,-120.6225,0.0,top
D160,161.355,-124.525,0.0,top
D161,161.355,-91.525,0.0,top
D162,161.355,-120.4,0.0,top
D163,161.355,-95.65,0.0,top
D164,161.355,-116.275,0.0,top
D165,161.355,-99.775,0.0,top
D166,161.355,-112.15,0.0,top
D167,161.355,-103.9,0.0,top
D168,161.355,-108.025,0.0,top
D169,174.995,-153.405,180.0,top
D17,78.86,-124.7475,0.0,top
D170,174.995,-58.48,180.0,top
D171,174.995,-149.28,180.0,top
D172,174.995,-62.605,180.0,top
D173,174.995,-145.155,180.0,top
D174,174.995,-66.73,180.0,top
D175,174.995,-141.03,180.0,top
D176,174.995,-70.855,180.0,top
D177,174.995,-136.905,180.0,top
D178,174.995,-74.98,180.0,top
D179,174.995,-132.78,180.0,top
D18,78.86,-128.8975,0.0,top
D180,174.995,-79.13,180.0,top
D181,174.995,-128.655,180.0,top
D182,174.995,-83.255,180.0,top
D183,174.995,-124.53,180.0,top
D184,174.995,-87.405,180.0,top
D185,174.995,-120.405,180.0,top
D186,174.995,-91.53,180.0,top
D187,174.995,-116.28,180.0,top
D188,174.995,-95.655,180.0,top
D189,174.995,-112.155,180.0,top
D19,78.86,-133.0225,0.0,top
D190,174.995,-99.78,180.0,top
D191,174.995,-108.03,180.0,top
D192,174.995,-103.905,180.0,top
D193,188.755,-58.455,0.0,top
D194,188.755,-153.38,0.0,top
D195,188.755,-62.58,0.0,top
D196,188.755,-149.255,0.0,top
D197,188.755,-66.705,0.0,top
D198,188.755,-145.13,0.0,top
D199,188.755,-70.83,0.0,top
D2,78.86,-62.8725,0.0,top
D20,78.86,-137.1725,0.0,top
D200,188.755,-141.005,0.0,top
D201,188.755,-74.955,0.0,top
D202,188.755,-136.88,0.0,top
D203,188.755,-79.08,0.0,top
D204,188.755,-132.73,0.0,top
D205,188.755,-83.205,0.0,top
D206,188.755,-128.605,0.0,top
D207,188.755,-87.33,0.0,top
D208,188.755,-124.455,0.0,top
D209,188.755,-91.455,0.0,top
D21,78.86,-141.2975,0.0,top
D210,188.755,-120.33,0.0,top
D211,188.755,-95.58,0.0,top
D212,188.755,-116.205,0.0,top
D213,188.755,-99.705,0.0,top
D214,188.755,-112.08,0.0,top
D215,188.755,-103.83,0.0,top
D216,188.755,-107.955,0.0,top
D217,202.385,-153.3775,180.0,top
D218,202.385,-58.4525,180.0,top
D219,202.385,-149.2525,180.0,top
D22,78.86,-145.4225,0.0,top
D220,202.385,-62.5775,180.0,top
D221,202.385,-145.1275,180.0,top
D222,202.385,-66.7025,180.0,top
D223,202.385,-141.0025,180.0,top
D224,202.385,-70.8275,180.0,top
D225,202.385,-136.8775,180.0,top
D226,202.385,-74.9525,180.0,top
D227,202.385,-132.7525,180.0,top
D228,202.385,-79.1025,180.0,top
D229,202.385,-128.6275,180.0,top
D23,78.86,-149.5475,0.0,top
D230,202.385,-83.2275,180.0,top
D231,202.385,-124.5025,180.0,top
D232,202.385,-87.3775,180.0,top
D233,202.385,-120.3775,180.0,top
D234,202.385,-91.5025,180.0,top
D235,202.385,-116.2525,180.0,top
D236,202.385,-95.6275,180.0,top
D237,202.385,-112.1275,180.0,top
D238,202.385,-99.7525,180.0,top
D239,202.385,-108.0025,180.0,top
D24,78.86,-153.6725,0.0,top
D240,202.385,-103.8775,180.0,top
D241,216.17,-58.4625,0.0,top
D242,216.17,-153.3875,0.0,top
D243,216.17,-62.5875,0.0,top
D244,216.17,-149.2625,0.0,top
D245,216.17,-66.7125,0.0,top
D246,216.17,-145.1375,0.0,top
D247,216.17,-70.8375,0.0,top
D248,216.17,-141.0125,0.0,top
D249,216.17,-74.9625,0.0,top
D25,93.025,-153.725,180.0,top
D250,216.17,-136.8875,0.0,top
D251,216.17,-79.0875,0.0,top
D252,216.17,-132.7375,0.0,top
D253,216.17,-83.2125,0.0,top
D254,216.17,-128.6125,0.0,top
D255,216.17,-87.3375,0.0,top
D256,216.17,-124.4625,0.0,top
D257,216.17,-91.4625,0.0,top
D258,216.17,-120.3375,0.0,top
D259,216.17,-95.5875,0.0,top
D26,93.025,-58.8,180.0,top
D260,216.17,-116.2125,0.0,top
D261,216.17,-99.7125,0.0,top
D262,216.17,-112.0875,0.0,top
D263,216.17,-103.8375,0.0,top
D264,216.17,-107.9625,0.0,top
D265,229.26,-153.415,180.0,top
D266,229.26,-58.49,180.0,top
D267,229.26,-149.29,180.0,top
D268,229.26,-62.615,180.0,top
D269,229.26,-145.165,180.0,top
D27,93.025,-149.6,180.0,top
D270,229.26,-66.74,180.0,top
D271,229.26,-141.04,180.0,top
D272,229.26,-70.865,180.0,top
D273,229.26,-136.915,180.0,top
D274,229.26,-74.99,180.0,top
D275,229.26,-132.79,180.0,top
D276,229.26,-79.14,180.0,top
D277,229.26,-128.665,180.0,top
D278,229.26,-83.265,180.0,top
D279,229.26,-124.54,180.0,top
D28,93.025,-62.925,180.0,top
D280,229.26,-87.415,180.0,top
D281,229.26,-120.415,180.0,top
D282,229.26,-91.54,180.0,top
D283,229.26,-116.29,180.0,top
D284,229.26,-95.665,180.0,top
D285,229.26,-112.165,180.0,top
D286,229.26,-99.79,180.0,top
D287,229.26,-108.04,180.0,top
D288,229.26,-103.915,180.0,top
D29,93.025,-145.475,180.0,top
D3,78.86,-66.9975,0.0,top
D30,93.025,-67.05,180.0,top
D31,93.025,-141.35,180.0,top
D32,93.025,-71.175,180.0,top
D33,93.025,-137.225,180.0,top
D34,93.025,-75.3,180.0,top
D35,93.025,-133.1,180.0,top
D36,93.025,-79.45,180.0,top
D37,93.025,-128.975,180.0,top
D38,93.025,-83.575,180.0,top
D39,93.025,-124.85,180.0,top
D4,78.86,-71.1225,0.0,top
D40,93.025,-87.725,180.0,top
D41,93.025,-120.725,180.0,top
D42,93.025,-91.85,180.0,top
D43,93.025,-116.6,180.0,top
D44,93.025,-95.975,180.0,top
D45,93.025,-112.475,180.0,top
D46,93.025,-100.1,180.0,top
D47,93.025,-108.35,180.0,top
D48,93.025,-104.225,180.0,top
D49,106.695,-58.8125,0.0,top
D5,78.86,-75.2475,0.0,top
D50,106.695,-153.7375,0.0,top
D51,106.695,-62.9375,0.0,top
D52,106.695,-149.6125,0.0,top
D53,106.695,-67.0625,0.0,top
D54,106.695,-145.4875,0.0,top
D55,106.695,-71.1875,0.0,top
D56,106.695,-141.3625,0.0,top
D57,106.695,-75.3125,0.0,top
D58,106.695,-137.2375,0.0,top
D59,106.695,-79.4375,0.0,top
D6,78.86,-79.3725,0.0,top
D60,106.695,-133.0875,0.0,top
D61,106.695,-83.5625,0.0,top
D62,106.695,-128.9625,0.0,top
D63,106.695,-87.6875,0.0,top
D64,106.695,-124.8125,0.0,top
D65,106.695,-91.8125,0.0,top
D66,106.695,-120.6875,0.0,top
